Title,Score,Name,Date,actions,text
" The Finest Part 2 ever
",10,sammyaklagade,14 April 2022,"
                    182 out of 211 found this helpful.
                        
                            Was this review helpful?  Sign in to vote.
                        
                        
                    Permalink
                ","This will go down as the greatest Indian films ever, Storyline was more sublime than ever Grand performance from Yash, bit illogical fights but yes anything comes under fiction and if you're getting a story like this then nothing comes close KGF 2 - surely A MASTERPIECE."
" Paisa Vasool movie - KGF Chapter 2
",10,arjuncshekartheofficial,14 April 2022,"
                    141 out of 168 found this helpful.
                        
                            Was this review helpful?  Sign in to vote.
                        
                        
                    Permalink
                ","KGF Chapter 1 movie was just a Trailer, But this movie is a feast. Prashanth Neel kept his words and wrote such a Marvellous script. Some fools may say that KGF Chapter 2 is terrible, but being a movie lover I really loved the content. This really did well above the expectations and I really loved it. This movie is only made for action movie lovers only, Family sentiment and love story movie lovers will surely dislike due to it's action scenes. That's because these guys ain't have brain and Intelligence Quotient in their brain to understand this movie. Better I recommend them to watch love story/ Family Sentiment movies rather than Action Movies like KGF Chapter 2.

Ps: The spoiler is Achyuth Kumar, who played the role of Gurupandian is the main Antagonist, not Sanjay Dutt."
" KGF 2 Box Office Tsunami Is Coming
",10,rosheenkan,14 April 2022,"
                    87 out of 107 found this helpful.
                        
                            Was this review helpful?  Sign in to vote.
                        
                        
                    Permalink
                ","As expected, KGF 2 is getting positive response and sure there's a possibility a box office tsunami and set record.

In addition, KGF 2 will be the best Kannada film ever. Sorry to say haters, film will be blockbuster.

The plus points are Yash, music and BGM, Prashanth Neel direction and climax.

The minus points are runtime, some illogical scenes and weak villain.

Once again, Yash has given fantastic performance and wins the hearts of the viewers. Hats off to them for making the best Kannada film ever.

Hence, it will probably became the best Indian film of 2022 since RRR."
" Goosebumps overloaded!!
",9,sriramthestranger,14 April 2022,"
                    92 out of 115 found this helpful.
                        
                            Was this review helpful?  Sign in to vote.
                        
                        
                    Permalink
                ","The screenplay, cuts and sound effects deserves a standing ovation. There are illogical moments but that don't take away you, because the Director keeps you invested in the 'state of disbelief' and that is the success of this movie. There is hardly any sugarcoating to the criminal angle of Rocky, and it is more of a man with a promise to fulfill. Kudos to the entire cast and crew for a honest 'masala movie'!!"
" Expectations surpassed!
",10,Prashast_Singh,15 April 2022,"
                    69 out of 86 found this helpful.
                        
                            Was this review helpful?  Sign in to vote.
                        
                        
                    Permalink
                ","""Hindi viewers, please don't regret later on when it'll be playing on TV and internet."" This is what I mentioned in my review of KGF Chapter 1 after I watched it in cinemas. And today, as I witnessed the second chapter of this epic action saga in cinemas as well, I found myself blown away by the gripping plot, gorgeous visuals, stunning action sequences and most importantly, Yash's screen presence as Rocky. I can safely proceed to state that my expectations were not only met, but also surpassed by this fine sequel.

KGF Chapter 2 expands the scale and story introduced to us in part 1 and ends up raising the bar higher. The makers were definitely quite confident making it, and it shows in every single frame. From beautifully picturizing the KGF (Kolar Gold Fields) to explosively choreographing the action sequences to elevating Rocky's character at multiple occasions, they have shown they knew what the viewers wanted, and delivered the promise product without any hassle. I was also glad to see heavy cheering and whistling throughout almost the entire duration, and some credit goes to the dialogue writer as well. The music was also good and delivered without interfering with the storytelling (though one song in the second half wasn't really necessary).

The biggest plus point of the film is its screenplay. From re-introducing our favorite characters and introducing new ones to building up conflicts and backing them with explosive action, KGF Chapter 2 has all the ingredients of a proper mass entertainer. Not a single scene where it feels dragged or overdone. Sure, it does feel long at times, but it never gets boring, and with several twists and turns, the story remains intriguing till the end.

One thing I'd definitely want to tell the viewers is to not simply get up and walk away once the credits start rolling. There is a mid-credits scene, and it's an important one. Other than that, this film should be on your watchlist if you like period action films. In the end, I just feel glad and kind of proud seeing a film I liked in 2018 going on to receive much bigger hype and viewer turnout with its second part in 2022."
" MASTERPIECE OF INDIAN CINEMA
",10,DrRaj2012,14 April 2022,"
                    74 out of 90 found this helpful.
                        
                            Was this review helpful?  Sign in to vote.
                        
                        
                    Permalink
                ","Watched 7 am show.

Can't compare with any Hollywood movie. True gem of Indian cinema.. don't call this now a regional cinema. It took Bollywood easily now .

Great direction music and high tone acting . Just watch and experience movie as it is. Action drama crime at high level ."
" KGF - Chapter 2 is The Super-Duper Blockbuster Movie of 2022 !!!
",10,rahul000994,15 April 2022,"
                    44 out of 55 found this helpful.
                        
                            Was this review helpful?  Sign in to vote.
                        
                        
                    Permalink
                ","KGF - Chapter 1, set the tone for a slick gangster franchise-high on style and details. The first part was all about establishing the intentions and power of Raja Krishnappa Bairya aka Rocky Bhai. The second part has managed to create hype with its promotional content that gives a peek into the film. Does the film manage to match the build-up? It does and provides a better sequel and also has a big surprise for fans in the end, too.

The film begins with Vijayendra Ingalagi, the son of Anand Ingalagi, taking over as the narrator. Rocky has won over the people of KGF and he is now in the process of dreaming bigger and treading more dangerous paths. In this process, he encounters Adheera, who is inspired by the Vikings and evokes visceral fear, who wants KGF back. Simultaneously, he also has to encounter the righteous Prime Minister Ramika Sen, who also wants Rocky taken down.

The story progresses at a brisk pace in a racy tale of Rocky's journey to the top. The film, like the first part, presents a dark, dreary world that is stylishly shot. While the first part took time to prove who the protagonist was and included more time to establish the same, this second part moves quicker and one gets to meet more characters. The conflicts and battles are more interesting this time.

This film gets to showcase the emotional side of Rocky too, with a love story and even some glimpses into his past life that fuelled his ambition. The love story doesn't take away too much from the tale either. One of the best shots in the film is the introduction of Adheera played by Sanjay Dutt. It is pure magic on screen and evokes whistles organically. Raveena Tandon as the Prime Minister also has a good track. The other interesting addition is Rao Ramesh as the CBI officer. Prakash Raj also makes for a good narrator, with his baritone adding an immersive experience.

The film belongs as much to filmmaker Prashanth Neel as it does to Yash. Both of them have managed to deliver a sequel that seems more immersive than the first part. Albeit, Prashanth has always maintained that the second part had the bigger chunk of his original story when they decided to break it into two parts.

For the audience who wants to watch a loaded action film with style, heavy-duty stunts, and dialogues, this one is simply made to order. KGF: Chapter 2 might not appeal to the seemingly woke audience, who would question consent or nitpick on commercial staples like violence. But for those who love such films, here's an essential spoiler, as there is a hint at a possible third chapter in the end credits, so wait until the end."
" KGF is KANNADA's GOLD FILM
",9,PavanKV,14 April 2022,"
                    55 out of 70 found this helpful.
                        
                            Was this review helpful?  Sign in to vote.
                        
                        
                    Permalink
                ","KFF part 2- Boisterous, loud and machismo type effect, taking Kannada movie to great heights.

Almost realistic barring few errors, the strong story line is displayed with bullet train speed, tight screenplay and stunning dialogues.

Key characters have been given equal weight and power- that's the best part.

Raveena shines as a tigress and pounds heavily. Sanjay Dutt plays his role well.

Yash steals the show with his charisma and he is the REAL GOLD. His confidence and dialogue delivery is clap worthy.

KGF is KANNADA's GOLD FILM."
" Awesome
",10,yashrajpanda-91825,14 April 2022,"
                    78 out of 92 found this helpful.
                        
                            Was this review helpful?  Sign in to vote.
                        
                        
                    Permalink
                ","It is one of the best movies and a history for indian cinemas.

Ot has grate actions and emotions and blah blah blah. It is a gold for indian cinemas."
" Action Dhamakaaaa
",10,mohantabiswa,14 April 2022,"
                    51 out of 65 found this helpful.
                        
                            Was this review helpful?  Sign in to vote.
                        
                        
                    Permalink
                ",Blockbuster movie.. Wellmade action sequences... Loved Rockybhaii style... Story okaish... Dialogue delivery outstanding... Bgm & songs rocking... Its a most watch movie...
" Supercalifragilisticexpialidocious
",10,navneetmaheshwari,14 April 2022,"
                    82 out of 95 found this helpful.
                        
                            Was this review helpful?  Sign in to vote.
                        
                        
                    Permalink
                ","Only this word defines the movie.

Goosebump in every scene of the movie .

The movie was fantastic. Everyone acted very well in the movie. VFX and Graphics in the movie was amazing. Songs and BGM in the movie was superb. Amazing movie.

And i am saying it again Supercalifragilisticexpialidocious."
" K.G.F: Chapter 2 Movie Review: A Thoroughly Satisfying Masssterpiece That Travels At 1000 Bullets Per Minute
",,shefali-59244,14 April 2022,"
                    56 out of 75 found this helpful.
                        
                            Was this review helpful?  Sign in to vote.
                        
                        
                    Permalink
                ","Right through K. G. F: Chapter 2, I couldn't help but imagine what it must have been like for Prashant Neel to watch The Godfather for the first time. More than the whole film, I'd love to ask him someday about the impact its climax left him with as he watched it in what I imagine to be an old theatre, wherever he grew up. Like the iconic theatre scene in Cinema Paradiso, this moment must have been Prashanth's big life-altering moment, his metamorphosis where he not only discovered the magic of movies but also the concept of ""mass"" before it became a thing. Without sounding too dramatic, something must have clicked in him because there's no one here who thinks in intercuts like this man.

Read the full review on Film Companion."
" Rocky Bhai rocked 🔥🔥🔥🔥🔥🔥
",10,rohitram-81705,14 April 2022,"
                    64 out of 80 found this helpful.
                        
                            Was this review helpful?  Sign in to vote.
                        
                        
                    Permalink
                ",Movie is set to break all time indian records. The storyline is unpredictable and goosebumps throughout the movie. Full action on first half and the real story begins at second half .
" ALL TIME BLOCKBUSTER 💯💥🔥
",9,Ketch_Rajath-10656,14 April 2022,"
                    40 out of 52 found this helpful.
                        
                            Was this review helpful?  Sign in to vote.
                        
                        
                    Permalink
                ","#KGFChapter2 This movie has a hype which i have never seen for any Indian Movie. Chapter 1 had set huge expectations & Chapter 2 exceeds all that Expectations. Yash has nailed it with his performance 👏🔥.

Prashanth neel has again proved that he is an Ace Director 💯💥"
" KGF CHAPTER 2: VIOLENCE AT THE BOX OFFICE
",10,skmenon1993,14 April 2022,"
                    44 out of 58 found this helpful.
                        
                            Was this review helpful?  Sign in to vote.
                        
                        
                    Permalink
                ","KGF CHAPTER 2 : STORM AT THE BOX OFFICE....

Director Prashant Neel, the captain of the ship & his entire crew deserves a standing ovation for creating a mammoth.

No one should think of watching this on an OTT platform and insult the movie.

Nothing to say much, it was such a theatrical experience which could be experienced once or twice in a year.

Every artist had dropped their signature.

A larger than life show based on a strong emotional foundation.

Hats off to the entire team of KGF."
